EmployeeNumber,Age,Department,Education,EducationField,Gender,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion
1,41,Sales,2,Life Sciences,Female,Sales Executive,4,5993,3,8,6,0
2,49,Research & Development,1,Life Sciences,Male,Research Scientist,2,5130,4,10,10,1
4,37,Research & Development,2,Other,Male,Laboratory Technician,3,2090,3,7,0,0
5,33,Research & Development,4,Life Sciences,Female,Research Scientist,3,2909,3,8,8,3
7,27,Research & Development,1,Medical,Male,Laboratory Technician,2,3468,3,6,2,2
8,32,Research & Development,2,Life Sciences,Male,Laboratory Technician,4,3068,3,8,7,3
10,59,Research & Development,3,Medical,Female,Laboratory Technician,1,2670,4,12,1,0
11,30,Research & Development,1,Life Sciences,Male,Laboratory Technician,3,2693,4,1,1,0
12,38,Research & Development,3,Life Sciences,Male,Manufacturing Director,3,9526,4,10,9,1
13,36,Research & Development,3,Medical,Male,Healthcare Representative,3,5237,3,17,7,7
14,35,Research & Development,3,Medical,Male,Laboratory Technician,2,2426,3,6,5,0
15,29,Research & Development,2,Life Sciences,Female,Laboratory Technician,3,4193,3,10,9,0
16,31,Research & Development,1,Life Sciences,Male,Research Scientist,3,2911,3,5,5,4
18,34,Research & Development,2,Medical,Male,Laboratory Technician,4,2661,3,3,2,1
19,28,Research & Development,3,Life Sciences,Male,Laboratory Technician,3,2028,3,6,4,0
20,29,Research & Development,4,Life Sciences,Female,Manufacturing Director,1,9980,3,10,10,8
21,32,Research & Development,2,Life Sciences,Male,Research Scientist,2,3298,3,7,6,0
22,22,Research & Development,2,Medical,Male,Laboratory Technician,4,2935,3,1,1,0
23,53,Sales,4,Life Sciences,Female,Manager,4,15427,3,31,25,3
24,38,Research & Development,3,Life Sciences,Male,Research Scientist,4,3944,3,6,3,1
26,24,Research & Development,2,Other,Female,Manufacturing Director,3,4011,3,5,4,1
27,36,Sales,4,Life Sciences,Male,Sales Representative,1,3407,4,10,5,0
28,34,Research & Development,4,Life Sciences,Female,Research Director,2,11994,3,13,12,2
30,21,Research & Development,2,Life Sciences,Male,Research Scientist,4,1232,3,0,0,0
31,34,Research & Development,1,Medical,Male,Research Scientist,1,2960,3,8,4,1
32,53,Research & Development,3,Other,Female,Manager,3,19094,3,26,14,4
33,32,Research & Development,1,Life Sciences,Female,Research Scientist,1,3919,4,10,10,6
35,42,Sales,4,Marketing,Male,Sales Executive,2,6825,3,10,9,4
36,44,Research & Development,4,Medical,Female,Healthcare Representative,4,10248,3,24,22,5
38,46,Sales,4,Marketing,Female,Manager,1,18947,3,22,2,2
39,33,Research & Development,3,Medical,Male,Laboratory Technician,4,2496,3,7,1,0
40,44,Research & Development,4,Other,Male,Healthcare Representative,4,6465,3,9,4,1
41,30,Research & Development,2,Medical,Male,Laboratory Technician,3,2206,3,10,10,1
42,39,Sales,3,Technical Degree,Male,Sales Representative,4,2086,3,19,1,0
45,24,Research & Development,3,Medical,Male,Research Scientist,4,2293,3,6,2,2
